Reference,Nom_Produit,Categorie,Unite_Production,Date_Fabrication,Labelisation,Nom_Label,Description,Image,Lien_Image,Annee,Image_Disponible,fait_par_main,Prix_Estime,Category_par_Group
PeCa01,Tableau Ayat al-Kursi & sourate Al-Falaq An-Nas,Calligraphie,Non spécifié,2023,non spécifié,Non spécifié,"Tableau décoratif sous verre réunissant Ayat al-Kursi et les sourates Al-Falaq et An-Nas. Calligraphie élégante en arabe, imprimée sur papier artistique, encadrée dans un cadre en bois noir mat ou naturel, avec verre synthétique anti-casse. Disponible en deux tailles (35×45 cm et 50×70 cm).",pas visible,https://alouette.ma/wp-content/uploads/2025/06/modeles-triple.jpg,2023,1,0,non disponible,calligraphie
PeCa02,Tableau – Calligraphie arabe abstraite & motifs géométriques,Calligraphie,Non spécifié,2022,non spécifié,Non spécifié,"Tableau encadré mêlant calligraphie arabe stylisée et motifs géométriques islamiques. Impression haute qualité sur papier artistique, protégé par un verre synthétique anti-casse et encadré dans un bois noir mat ou naturel. Disponible en deux tailles : 35×45 cm et 50×70 cm. Prêt à suspendre grâce à des crochets inclus.",pas visible,https://alouette.ma/wp-content/uploads/2025/05/model-A710-1-450x450.jpg,2022,1,0,non disponible,calligraphie
PeCa03,Tableaux – Calligraphie islamique design moderne (lot de 2),Calligraphie,Non spécifié,2021,non spécifié,Non spécifié,Lot de deux tableaux modernes de calligraphie islamique imprimés sur fond multicolore. Chaque poster est encadré d’un cadre noir et protégé par un verre synthétique anti-casse. Impression haute qualité sur papier artistique. Disponible en deux tailles : 35×45 cm et 50×70 cm.,pas visible,https://alouette.ma/wp-content/uploads/2022/12/Tableau-decoration-ayat-Al-Fatiha-coran-calligraphie-Maroc-1.jpg,2021,1,0,non disponible,calligraphie
PeCa04,"Tableau – Calligraphie ""La ilaha illa Allah"" & fond marin",Calligraphie,Non spécifié,2020,non spécifié,Non spécifié,"Tableau islamique moderne imprimé avec l’inscription “La ilaha illa Allah” sur un fond artistique évoquant la mer. Impression haute qualité sur papier artistique, encadré d’un bois noir élégant et protégé par un verre synthétique anti-casse. Disponible en 2 tailles : 35×45 cm et 50×70 cm.",pas visible```
PeCa05,Peinture – Fontaine Nejjarine,peinture à l’huile,Atelier LAW7ATY – Fès,2023,oui,pièce peinte à la main,"Peinture à l’huile sur toile représentant la célèbre fontaine Nejjarine à Fès. Œuvre peinte à la main avec soin par un artiste de l’atelier LAW7ATY. Dimensions : 70×90 cm (sans cadre). Une pièce unique, idéale pour salon, chambre ou bureau.",pas visible,https://law7aty.ma/wp-content/uploads/2021/08/TABLEAU-FES-2-1-360x396.jpg,2023,1,0,non disponible,Peinture
PeCa06,Peinture – Cavalier en tenue traditionnelle marocaine,peinture à l’huile,"Atelier de ""Ayoub El Fatyhy""",2023,oui,Œuvre originale – signée avec certificat d’authenticité,"Peinture à l’huile sur toile représentant un cavalier en tenue traditionnelle marocaine. Œuvre peinte à la main par l’artiste Ayoub El Fatyhy, signée au recto et verso, avec certificat d’authenticité fourni. Dimensions : 100×70 cm (sans cadre). Tableau encadré, stock limité.",pas visible,https://law7aty.ma/wp-content/uploads/2021/06/b0aa2693-75f5-40b7-a559-2758c331b28f-355x432.jpg,2023,1,0,non disponible,Peinture
PeCa07,Peinture – Objets Traditionnels Marocains 001,peinture à l’huile,"Atelier de ""Ayoub El Fatyhy""",2023,oui,Œuvre originale – signée avec certificat d’authenticité,"Peinture à l’huile sur toile représentant des objets traditionnels marocains. Œuvre peinte à la main par l’artiste Ayoub El Fatyhy, signée au recto et verso, avec certificat d’authenticité fourni. Dimensions : 60×80 cm. Tableau encadré.",pas visible,https://law7aty.ma/wp-content/uploads/2020/12/81-360x432.webp,2023,1,0,non disponible,Peinture
PeCa08,Peinture – Calligraphie arabe,Calligraphie,Atelier LAW7ATY,2023,oui,Œuvre originale – signée avec certificat d’authenticité,"Peinture à l’huile sur toile représentant une calligraphie arabe, réalisée à la main par l’artiste Ayoub El Fatyhy. Dimensions : 100×80 cm. Une œuvre élégante et contemporaine idéale pour votre salon, chambre ou bureau.",pas visible,https://law7aty.ma/wp-content/uploads/2020/12/Tableau-calligraphie-1-20230328-223310-360x432.jpg,2023,1,0,non disponible,calligraphie
PeCa09,Peinture – Objets Marocains Traditionnels,peinture à l’huile,Atelier LAW7ATY,2023,oui,Œuvre originale – signée avec certificat d’authenticité,"Peinture à l’huile sur toile représentant des objets traditionnels marocains, réalisée à la main par l’artiste Ayoub El Fatyhy. Tableau signé au recto et verso, avec certificat d’authenticité fourni. Dimensions : 60×80 cm (sans cadre). Tableau encadré. Œuvre unique,",pas visible,https://law7aty.ma/wp-content/uploads/2020/12/83-360x432.webp,2023,1,0,non disponible,Peinture
PeCa10,Tableau Calligraphie Islamique Maroc,Calligraphie,Alouette Déco maroc,2025,non spécifié,Non spécifié,"Tableau décoratif islamique avec calligraphie arabe coranique sacrée, imprimé en haute qualité, prêt à accrocher. Cadre en bois élégant, verre anti-casse pour protection. Idéal pour chambre, salon ou espace professionnel. Ajoute élégance et spiritualité à la décoration. Disponible en taille 35 x 45 cm et 50 x 70 cm.",pas visible,https://alouette.ma/wp-content/uploads/2025/06/Grand-50x70-h11-A892.jpg,2025,1,0,non disponible,calligraphie
PeCa11,Peinture – Symboles Spirituels Marocains,Peinture à l’huile,Atelier LAW7ATY,2023,oui,Œuvre originale – signée avec certificat d’authenticité,"Peinture à l’huile sur toile représentant une composition riche en symboles marocains : un Coran rouge, un sabre artisanal et une sacoche traditionnelle sur fond vert. Réalisée à la main par l’artiste Ayoub El Fatyhy, signée au recto et au verso. Dimensions : 60×80 cm. Tableau encadré.",pas visible,https://law7aty.ma/wp-content/uploads/2023/05/79-360x432.webp,2023,1,1,non disponible,Peinture
